Country Name,Country Code,2017 [YR2017] - Access to electricity (% of population) [EG.ELC.ACCS.ZS],2017 [YR2017] - Access to clean fuels and technologies for cooking (% of population) [EG.CFT.ACCS.ZS],2017 [YR2017] - Control of Corruption: Estimate [CC.EST],"2017 [YR2017] - Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]",2017 [YR2017] - Government Effectiveness: Estimate [GE.EST],"2017 [YR2017] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2017 [YR2017] - Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",2017 [YR2017] - Methane emissions (metric tons of CO2 equivalent per capita) [EN.ATM.METH.PC],2017 [YR2017] - Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],2017 [YR2017] - Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],2017 [YR2017] - Prevalence of overweight (% of adults) [SH.STA.OWAD.ZS],2017 [YR2017] - Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS],"2017 [YR2017] - School enrollment, primary (% gross) [SE.PRM.ENRR]",2017 [YR2017] - Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"2017 [YR2017] - Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]"
Finland,FIN,100,..,2.215701,..,1.936893,81.4292682926829,..,..,1.069088,2.5,..,..,100.1546,6,8.64000034332275
France,FRA,100,..,1.259546,..,1.35223,82.5243902439024,..,..,0.2115424,2.5,..,..,102.5108,4,9.39700031280518
Gabon,GAB,92.1912002563477,..,-0.8081481,..,-0.9431855,65.839,..,..,-0.0891662,10.5,..,..,..,6,19.3740005493164
"Gambia, The",GMB,56.2,..,-0.6645676,..,-0.6478594,61.44,..,..,-0.2084272,10.2,..,..,95.23711,6,8.9060001373291
Georgia,GEO,100,..,0.744684,..,0.5703294,73.414,99.36426,..,-0.3711222,7.9,..,..,100.3583,9,13.9300003051758
Germany,DEU,100,..,1.841048,..,1.719366,80.990243902439,..,..,0.5764917,2.5,..,..,104.0224,6,3.74600005149841
Ghana,GHA,79,..,-0.2254184,..,-0.1119579,63.463,..,..,0.0864814,5.5,..,..,105.5099,6,6.62900018692017
Greece,GRC,100,..,-0.1380295,..,0.3136996,81.3878048780488,..,..,-0.1256012,2.5,..,..,99.55348,2,21.488000869751
Grenada,GRD,94.695671081543,..,0.4755489,..,-0.1750416,72.388,..,..,1.026892,..,..,..,111.4477,6,..
Guatemala,GTM,93.2880935668945,..,-0.7394416,..,-0.6398038,73.81,..,..,-0.573127,15.2,..,..,101.1949,9,2.68400001525879
Guinea,GIN,35.4412155151367,..,-1.005737,..,-1.044228,60.706,..,..,-0.6060216,16.5,..,..,..,6,3.57200002670288
Guinea-Bissau,GNB,26.0473480224609,..,-1.562251,..,-1.766072,57.673,..,..,-0.6002936,28,..,..,..,6,4.03299999237061
Guyana,GUY,90.864875793457,..,-0.5077286,..,-0.2905849,69.624,..,..,-0.0374462,8.1,..,..,..,3,12.1149997711182
Haiti,HTI,43.7525634765625,..,-1.237688,..,-2.055587,63.29,..,..,-0.7049372,49.3,..,..,..,2,13.4049997329712
Honduras,HND,86.5,..,-0.7172771,..,-0.5115252,74.898,..,..,-0.5521104,12.9,..,..,91.53496,8,4.0479998588562
Hungary,HUN,100,..,0.0895667,..,0.5135697,76.0634146341464,..,..,0.8133535,2.5,..,..,100.8055,9,4.1560001373291
Iceland,ISL,100,..,1.83808,..,1.450667,82.2048780487805,..,..,1.371231,2.5,..,..,100.3514,4,2.74200010299683
India,IND,92.6186599731445,..,-0.2394729,..,0.0916715,69.165,..,..,-0.826117,14.5,..,..,112.9579,8,2.55699992179871
Indonesia,IDN,98.14,..,-0.2523716,..,0.0407612,71.282,..,..,-0.511807,8.3,..,..,105.9114,6,4.18499994277954
"Iran, Islamic Rep.",IRN,100,..,-0.8112545,..,-0.1909521,76.271,..,..,-0.9295875,4.9,..,..,110.7075,2,12.1000003814697
Iraq,IRQ,100,..,-1.371593,..,-1.265302,70.294,..,..,-2.33111,29,..,..,..,0,7.89099979400635
Ireland,IRL,100,..,1.548576,..,1.291128,81.9560975609756,..,..,1.018091,2.5,..,..,100.8528,7,6.71000003814697
Israel,ISR,100,..,0.8268534,..,1.385821,82.6024390243903,..,..,-0.8790978,2.5,..,..,104.9011,6,4.21500015258789
Italy,ITA,100,..,0.188857,..,0.5024198,83.2439024390244,..,..,0.2371518,2.5,..,..,101.8794,2,11.2110004425049
Jamaica,JAM,99.5064468383789,..,-0.1721858,..,0.489569,74.267,..,..,0.2545243,8,..,..,89.76785,9,11.6590003967285
Japan,JPN,100,..,1.522445,..,1.617229,84.099756097561,..,..,1.12084,2.5,..,..,..,5,2.79999995231628
Jordan,JOR,100,..,0.2600122,..,0.1165232,74.292,..,..,-0.5281549,12.2,..,..,80.77087,0,14.878999710083
Kazakhstan,KAZ,100,..,-0.820549,..,0.0089316,72.95,..,..,0.016214,2.5,..,..,108.7478,6,4.90000009536743
Kenya,KEN,63.8114700317383,..,-0.9557894,..,-0.3119952,65.909,..,..,-1.084383,29.4,..,..,..,7,9.29199981689453
Kiribati,KIR,98.6145706176758,..,0.3902786,..,-0.2455576,67.851,..,..,0.8971391,2.7,..,..,101.3046,4,..
"Korea, Dem. People's Rep.",PRK,43.8711776733398,..,-1.480587,..,-1.69458,71.91,..,..,-0.4806822,47.8,..,..,..,..,3.28699994087219
"Korea, Rep.",KOR,100,..,0.4810342,..,1.082476,82.6268292682927,..,..,0.2896853,2.5,..,..,98.0886,5,3.70000004768372
Kuwait,KWT,100,..,-0.3311524,..,-0.1665631,75.311,96.03595,..,-0.0404395,2.8,..,..,95.6888,1,1.99699997901917
Kyrgyz Republic,KGZ,100,..,-1.05354,..,-0.7144402,71.2,..,..,-0.432659,7.1,..,..,107.0424,9,6.8899998664856
Lao PDR,LAO,93.6,..,-0.9354706,..,-0.3587283,67.277,..,..,0.4297708,16.5,..,..,106.0174,6,0.602999985218048
Latvia,LVA,100,..,0.5360193,..,0.9047853,74.6804878048781,..,..,0.4603259,2.5,..,..,99.36784,9,8.71500015258789
Lebanon,LBN,100,..,-0.9997081,..,-0.5134869,78.833,..,..,-1.593746,11,..,..,..,2,6.11399984359741
Lesotho,LSO,33.7307586669922,..,-0.0257206,..,-0.8502712,52.947,..,..,-0.2481765,13.1,..,..,120.8975,5,23.613000869751
Liberia,LBR,21.4888687133789,..,-0.6879092,..,-1.370018,63.295,48.30136,..,-0.410591,37.2,..,..,85.10919,10,2.02800011634827
Libya,LBY,70.1482009887695,..,-1.590927,..,-1.772441,72.52,..,..,-2.325987,..,..,..,..,0,17.1219997406006
Liechtenstein,LIE,100,..,2.056362,..,1.764954,82.2585365853659,..,..,1.499207,..,..,..,..,..,..
Lithuania,LTU,100,..,0.553921,..,0.9781554,74.6707317073171,..,..,0.7804356,2.5,..,..,103.8747,6,7.07299995422363
Luxembourg,LUX,100,..,1.985429,..,1.683228,82.6853658536585,..,..,1.336963,2.5,..,..,102.2859,3,5.52199983596802
Madagascar,MDG,24.0753917694092,..,-1.049565,..,-1.137712,66.311,..,..,-0.334092,44.4,..,..,..,2,1.6690000295639
Malawi,MWI,12.7,..,-0.6535929,..,-0.6694726,63.279,..,..,-0.2720024,17.5,..,..,145.4889,11,5.46799993515015
Malaysia,MYS,100,..,0.0260305,..,0.8380826,75.828,..,..,0.1608163,2.5,..,..,105.2916,7,3.41000008583069
Maldives,MDV,99.8,..,-0.7871587,..,-0.4511285,78.325,..,..,0.2638324,10.3,..,..,97.1098,2,5.82999992370605
